0:PR-ModelName	1:PR-Manufacturer	2:PR-Vendor	3:PR-ModelNumber	4:PR-VendorItemNumber	5:PR-DeviceTotalPrice	6:PR-HorizontalScanSize	7:PR-VerticalScanSize	8:PR-InterfaceTypeDesc	9:PR-ColorBitDepth	10:PR-GrayscaleBitDepth	11:PR-CompatibleWithDesc	12:PR-DeviceHeight	13:PR-DeviceWidth	14:PR-DeviceDepth	15:PR-DeviceWeight	16:PR-WarrantyDesc	17:PR-HorizontalInterpolatedScanResolution	18:PR-VerticalInterpolatedScanResolution	19:PR-HorizontalOpticalScanResolution	20:PR-VerticalOpticalScanResolution
CanoScan 3000F Color Flatbed Scanner	Canon	CompUSA	8658A002	302601	99.99	8.5	11.7	USB 2.0	24	NULL	"  Windows : Windows XP: USB - 2.0 Hi-Speed 566MHz/128MB RAM; USB - 233MHz/128MB RAM  Windows Me: USB 2.0 Hi-Speed - 566MHz/128MB RAM; USB - 233MHz/128MB RAM  Windows 98: USB - 233MHz/128MB RAM  Windows 2000: USB 2.0 Hi-Speed - 566MHz/128MB RAM; USB - 233MHz/128MB RAM  USB 2.0 NOTE: Systems with Pentium III or higher, Celeron® (566MHz or higher), AMD: Athlon?, Athlon MP, Athlon XP or Duron are recommended.  "	2.8	10.1	18.1	5.5	1 Year (12 Months)	9600	9600	1200	1200
ScanJet 5590 Digital Flatbed Scanner	HP	CompUSA	L1910A#B1H	313905	399.99	8.5	11	USB 2.0	48	8	"For PC systems:    USB-compatible PC with Microsoft Windows [98, 98 SE,  Me, 2000, XP (Professional and Home Editions)]  Pentium II Celeron or compatible CPU  Internet Explorer 5.01 SP2 or later  64 MB RAM  175 MB disk space, plus 50 MB for full-color scanning  SVGA monitor (800 x 600, 16-bit color)  CD-ROM drive  USB port      For Macintosh systems:    USB-compatible Macintosh computer with Mac  OS X (10.1.5, 10.2 or higher)  128 MB RAM  240 MB disk space  SVGA monitor (800 x 600, 16-bit color)  CD-ROM drive  USB port      Note: HP Memories Disc Creator software requires CD-Writer and 700 MB additional disk space  "	6.38	19.21	13.39	12.6	1 Year (12 Months)	2400	2400	2400	NULL
DR-5020 High Speed Document Scanner	Canon	CompUSA	3610A002AF	50180087	4334.58	11.6875	17	SCSI-2	NULL	NULL	NULL	10.25	16.9375	19.6875	44	NULL	400	NULL	NULL	NULL
Xerox DocuMate 510 Color Flatbed Scanner	Visioneer	CompUSA	XDM5105D-WU	311311	349.99	8.5	14	USB 2.0	24	8	  Pentium® 300 or equivalent processor  Windows® 98SE/2000/ME/XP  64MB of RAM (128MB RAM for Windows XP)  200MB available hard disk space  CD-ROM drive  USB Port    	17.5	7.5	12	11	NULL	NULL	NULL	600	1200
Perfection 2580 Color Photo Flatbed Scanner	Epson	CompUSA	B11B172091	313948	149.99	8.5	11.7	USB 1.1USB 2.0	48	16	"Windows and Macintosh Requirements:    500MB of available hard disk space  CD-ROM drive (4x or faster)  Available USB 1.1 or 2.0 connection and device drivers  USB 1.1 or 2.0 compatible operating system and applications (USB 2.0 recommended for optimum performance)  128MB RAM (256MB recommended)    Additional Windows Requirements:    IBM® compatible PC with Pentium® II equivalent or higher processor  USB 1.1: Windows 98SE, Windows 2000 Professional, Windows Me or Windows XP Home Edition/XP Professional  USB 2.0: Windows 2000 Professional or Windows XP Home Edition/XP Professional      Additional Macintosh Requirements:    iMac® or any G3 or later with built-in USB  USB 1.1: Mac OS 9.1 to 9.2.2, OS 10.2.x and OS 10.3.x  USB 2.0: Mac OS 10.2.7 or later    "	3.4	10.83	16.5	6.6	1 Year (12 Months)	12800	12800	2400	NULL
Perfection 1260 Flatbed Color Scanner	Epson	CompUSA	B11B154011	50227824	47.74	8.5	11.7	USB 1.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1200	2400
OneTouch? 9120 USB Color Flatbed Scanner	Visioneer	CompUSA	91201D-WU	50361843	96.07	8.5	11.69	USB 2.0	48		  Intel® Pentium® equivalent processor or higher  Microsoft® Windows® 98SE/2000 Professional/Millennium/XP 64MB of RAM (128 recommended for Windows XP)  200MB of available Hard Disk Space  CD-ROM drive (For installing software on your PC)  Color Monitor  USB Port    	8.5	NULL	NULL	NULL	1 Year (12 Months)	4800	NULL	4800	2400
Scanjet 5550c Digital Flatbed Scanner	HP	CompUSA	C9919A#A2L	302018	299.99	8.5	11.7	USB 1.1	NULL	NULL	"CD-ROM drive, 64 MB RAM, SVGA monitor (800 x 600, 16-bit color), USB port, port, HP memories disc creator software requires CD writer and 700 MB additional additional hard disk space    For Microsoft® Windows®:    PC with Pentium® II processor, Celeron or compatible  Microsoft Windows 98, 2000 Professional, Me, XP Professional or XP XP Home Edition  300 MB available disk space  Microsoft Internet Explorer 5.0 or or higher    For Macintosh®:    Power PC processor (includes iMac)  Mac OS 9.1 and higher, higher, OS X 10.1 and higher  150 MB available disk space  "	6.25	19.2	13.39	12	1 Year (12 Months)	2400	2400	2400	NULL
Scanjet 3670 USB Digital Flatbed Scanner	HP	CompUSA	Q3851A#A2L	304424	79.99	8.5	11.7	USB 2.0	48	8	"General:    USB-compatible PC with Microsoft Windows 98, 98SE, Me, XP Home and Professional, 2000 or USB-compatible Macintosh® computer with Mac OS 9.1 or higher, OS X 10.1.5 or 10.2 or higher  CD-ROM drive  800 x 600, 16-bit color SVGA monitor  USB port on PC or USB-connect Macintosh only  Microsoft Internet Explorer 5.0 or later      Microsoft Windows:    PC with Intel® Pentium® II 233 MHz processor, Celeron or compatible  255 MB free hard disk space  64 MB RAM      Macintosh:    233 MHz PowerPC processor  240 MB free hard disk space  64 MB RAM (Mac OS X: 128 MB)      Note: hp memories disc creator software requires CD writer and 700 MB additional hard disk space.  "	3.23	18.28	11.26	4.53	3 Months (90 days)	1200	1200	1200	1200
Perfection 2480 Color Photo Scanner	Epson	CompUSA	B11B172011	313949	99.99	8.5	11.7	USB 1.1USB 2.0	48	16	"Windows and Macintosh Requirements:    500MB of available hard disk space (minimum)  CD-ROM drive (4x or faster)  Available USB 1.1 or 2.0 connection and device drivers  USB 1.1 or 2.0 compatible operating system and applications (USB 2.0 recommended for optimum performance)  128MB RAM (256MB recommended)    Additional Windows Requirements:    IBM® compatible PC with Pentium® II equivalent or higher processor  USB 1.1: Windows 98SE, Windows 2000 Professional,  Windows Me or Windows XP Home Edition/XP Professional  USB 2.0: Windows 2000 Professional or Windows XP Home Edition/XP Professional  Additional Macintosh Requirements  Â? iMac® or any G3 or later with built-in USB  Â? USB 1.1: Mac OS 9.1 to 9.2.2, OS 10.2.x and OS 10.3.x  Â? USB 2.0: Mac OS 10.2.7 or later    "	3.4	10.83	16.5	6	1 Year (12 Months)	12800	12800	2400	4800
