0:CT-Date:PR-MonthName	0:CT-Date:PR-Day	0:CT-Date:PR-Year	1:CT-Time:PR-Hours	1:CT-Time:PR-Minutes	1:CT-Time:PR-TimeMeridian	1:CT-Time:PR-TimeZone	2:CT-Time:PR-Hours	2:CT-Time:PR-Minutes	2:CT-Time:PR-TimeMeridian	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	3:CT-Time:PR-TimeZone	4:CT-Time:PR-Hours	4:CT-Time:PR-Minutes	4:CT-Time:PR-TimeMeridian	5:PR-Place	6:CT-CityState:PR-City	6:CT-CityState:PR-StateName	7:CT-CityState:PR-City	7:CT-CityState:PR-State-Abbr	8:PR-Zipcode5Digit	9:CT-TemperatureF:PR-QuantitativeValue	9:CT-TemperatureF:PR-Degree	9:CT-TemperatureF:PR-UnitFahrenheit	10:PR-Sky	11:PR-WindSpeed	12:CT-Wind:PR-Windspeed	12:CT-Wind:PR-WindDirection	13:CT-VisibilityMiles:PR-QuantitativeValue	13:CT-VisibilityMiles:PR-UnitMiles	14:CT-TemperatureF:PR-QuantitativeValue	15:PR-Humidity	16:CT-TemperatureC:PR-QuantitativeValue	16:CT-TemperatureC:PR-Degree	16:CT-TemperatureC:PR-UnitCelcius	17:CT-PressureInches:PR-QuantitativeValue	17:CT-PressureInches:PR-UnitInches	18:CT-PressureBar:PR-QuantitativeValue	18:CT-PressureBar:PR-UnitBar	19:CT-PressurePascal:PR-QuantitativeValue	19:CT-PressurePascal:PR-UnitPascal	20:PR-WindDirection
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Los Angeles Downtown/Usc	NULL	NULL	Linden	NJ	90404	72	°	F	A Few Clouds	7 MPH	7	Vrbl	10.00	mi.	72	14%	21	°	C	30.03	in	1016.7	mb	NULL	NULL	Vrbl
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Newark International Airport	NULL	NULL	North Bend	OR	07036	89	°	F	Partly Cloudy	13 MPH	13	S	8.00	mi.	89	13%	19	°	C	30.05	in	1016.8	mb	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Gadsden	AL	97459	57	°	F	Overcast	10 MPH	10	S	10.00	mi.	57	38%	6	°	C	30.35	""""	1029.3	mb	NULL	NULL	S
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Gadsden Municipal Automatic Weather Observing	NULL	NULL	Boston	MA	35903	86	°	F	A Few Clouds	9 MPH	9	W	10.00	mi.	86	41%	5	°	C	30.44	in	1031.5	mb	NULL	NULL	W
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Boston, Logan International Airport	NULL	NULL	Salt Lake City	UT	02120	61	°	F	A Few Clouds	9 MPH	9	E	10.00	mi.	61	47%	14	°	C	30.28	in	1025.3	mb	NULL	NULL	E
NULL	NULL	NULL	12	56	pm	NULL	12	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Salem	VA	84102	46	°	F	Rain	3 MPH	3	S	5.00	mi.	46	72%	4	°	C	30.44	in	1032.8	mb	NULL	NULL	S
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Roanoke Regional Airport	NULL	NULL	Manchester	CT	24153	90	°	F	Partly Cloudy	8 MPH	8	SW	10.00	mi.	90	66%	10	°	C	30.51	in	1033.8	mb	NULL	NULL	SW
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hartford-Brainard Airport	NULL	NULL	Adrian	MN	06040	83	°	F	Fair	21 MPH	21	NULL	9.00	mi.	83	17%	13	°	C	30.22	in	1023.3	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Worthington Automatic Weather Observing/Reporting	NULL	NULL	Coeur d' Alene	ID	56110	84	°	F	Fair	17 MPH	17	NULL	10.00	mi.	84	27%	1	°	C	29.93	""""	1013.5	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	29	pm	NULL	1	29	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Sandpoint Airport	NULL	NULL	Washington	DC	83814	52	°	F	Overcast	3 MPH	3	E	7.00	mi.	52	47%	NULL	NULL	NULL	29.88	""""	1012	mb	NULL	NULL	E
