time,location,temperature,tempinf,sky,windspeed,windspeedinmph,winddir,visibility,visibilityinmi,zipin
1:51 PM,"Linden, New Jersey",88 F,88,Partly Cloudy,12mph,12mph,SE,7.00 mi,7,7036
11:35 AM,"North Bend, Oregon",55 F,55,Partly Cloudy,9mph,?,W,10.00 mi,10,97459
2:35 PM,"Gadsden, Alabama",86 F,86,Partly Cloudy,9mph,?,WSW,10.00 mi,10,35903
2:54 PM,"Boston, Massachusetts",61 F,61,Partly Cloudy,9mph,?,E,10.00 mi,10,2120
11:56 AM,"Salt Lake City, Utah",45 F,45,Light Rain,9mph,?,E,9.00 mi,9,84102
2:54 PM,"Salem, Virginia",90 F,90,Partly Cloudy,8mph,8mph / 13kph,SW,10.00 mi,10,24153
2:53 PM,"Manchester, Connecticut",83 F,83,Fair,13mph,13mph / 21kph,SSE,9.00 mi,9,6040
12:15 PM,"Coeur d' Alene, Idaho",57 F,57,Fair,3mph,3mph / 5kph,WNW,10.00 mi,10,83814
2:51 PM,"Washington, D.C.",88 F,88,Partly Cloudy,13mph,13mph / 21kph,S,8.00 mi,8,20007
1:56 PM,"Evanston, Illinois",86 F,86,Partly Cloudy,22mph,22mph / 35kph,W,10.00 mi,10,60201
11:55 AM,"Milton, Washington",55 F,55,Mostly Cloudy,9mph,?,NW,7.00 mi,7,98354
6:53 AM,"Kailua, Hawaii",78 F,78,Fair,7mph,7mph / 11kph,S,10.00 mi,10,96734
1:53 PM,"Merna, Nebraska",83 F,83,Fair,21mph,21mph / 34kph,SSE,10.00 mi,10,68856
1:53 PM,"Jackson, Mississippi",73 F,73,Light Rain,0mph,0mph / 0kph,CALM,6.00 mi,6,39212
3:40 PM,"Liberty, Kentucky",91 F,91,Partly Cloudy,0mph,0mph / 0kph,CALM,10.00 mi,10,42539
2:15 PM,"Opelika, Alabama",81 F,81,Thunder,5mph,5mph / 8kph,ESE,10.00 mi,10,36801
12:53 PM,"Houston, Texas",90 F,90,Mostly Cloudy,9mph,?,SSE,10.00 mi,10,77041
1:54 PM,"Shawnee Mission, Kansas",85 F,85,Partly Cloudy,14mph,14mph / 23kph,S,10.00 mi,10,66216
2:54 PM,"Palmyra, New York",84 F,84,Mostly Cloudy,17mph,17mph / 27kph,SW,7.00 mi,7,14522
2:51 PM,"Arlington, Virginia",88 F,88,Partly Cloudy,13mph,13mph / 21kph,S,8.00 mi,8,22204
3:00 PM,"Miami Beach, Florida",79 F,79,Rain,5mph,5mph / 8kph,SE,10.00 mi,10,33160
2:45 PM,"Middle River, Maryland",84 F,84,Haze,12mph,12mph,SE,5.00 mi,5,21220
1:53 PM,"Nashville, Tennessee",84 F,84,Thunder,5mph,5mph / 8kph,E,10.00 mi,10,37201
